area,label,href,strategicFit
Hauptnavigation lokal/live,Kunst,/art,"Teilweise: Kunst passt, aber Design fehlt"
Hauptnavigation lokal/live,Kollektionen,/collections,Passt
Hauptnavigation lokal/live,Journal,/journal,"Passt, aber zu früh vor Design/Ateliers"
Hauptnavigation lokal/live,Commissions & Collaborations,/trade,Soll sekundär sein
Hauptnavigation lokal/live,Ateliers,/ateliers,Passt
Hauptnavigation lokal/live,Shop,/shop,Soll durch Design ersetzt werden
Sekundärnavigation,Künstler,/artists,Unter Kunst
Sekundärnavigation,Ateliers & Marken,/brands,Unter Ateliers
Sekundärnavigation,Materialien,/materials,Unter Ateliers/Kollektionen
Sekundärnavigation,Arbeit einreichen,/arbeit-einreichen,Sekundär/Kontakt
